Product,Quantity Ordered,Sales
20in Monitor,8252,907637.48
27in 4K Gaming Monitor,12478,4866295.22
27in FHD Monitor,15082,2262149.18
34in Ultrawide Monitor,12384,4705796.16
AA Batteries (4-pack),55230,212083.19999999998
AAA Batteries (4-pack),61972,185296.28
Apple Airpods Headphones,31274,4691100.0
Bose SoundSport Headphones,26860,2685731.4
Flatscreen TV,9626,2887800.0
Google Phone,11058,6634800.0
LG Dryer,1292,775200.0
LG Washing Machine,1332,799200.0
Lightning Charging Cable,46338,692753.1
Macbook Pro Laptop,9450,16065000.0
ThinkPad Laptop,8256,8255917.44
USB-C Charging Cable,47862,571950.8999999999
Vareebadd Phone,4136,1654400.0
Wired Headphones,41048,492165.52
iPhone,13694,9585800.0
